Close,Volume,Date,Score
389.1000061035156,68033600,2025-01-29,0.0
400.2799987792969,98092900,2025-01-30,0.0
404.6000061035156,83283600,2025-01-31,0.0
383.67999267578125,93732100,2025-02-03,0.0
392.2099914550781,57072200,2025-02-04,0.0
378.1700134277344,57223300,2025-02-05,0.0
374.32000732421875,77918200,2025-02-06,0.0
361.6199951171875,70298300,2025-02-07,0.0
350.7300109863281,77514900,2025-02-10,0.0
328.5,118543400,2025-02-11,0.0
336.510009765625,105382700,2025-02-12,0.0
355.94000244140625,89441500,2025-02-13,0.0
355.8399963378906,68277300,2025-02-14,0.0
354.1099853515625,51631700,2025-02-18,0.0
360.55999755859375,67094400,2025-02-19,0.0
354.3999938964844,45965400,2025-02-20,0.0
337.79998779296875,74058600,2025-02-21,0.0
330.5299987792969,76052300,2025-02-24,0.0
302.79998779296875,134228800,2025-02-25,0.0
290.79998779296875,100118300,2025-02-26,0.0
281.95001220703125,101748200,2025-02-27,0.0
292.9800109863281,115697000,2025-02-28,0.0
284.6499938964844,115551400,2025-03-03,0.0
272.0400085449219,126706600,2025-03-04,0.0
279.1000061035156,94042900,2025-03-05,0.0
263.45001220703125,98451600,2025-03-06,0.0
262.6700134277344,102369600,2025-03-07,0.0
222.14999389648438,189076900,2025-03-10,0.0
230.5800018310547,174896400,2025-03-11,0.0
248.08999633789062,142215700,2025-03-12,0.0
240.67999267578125,114813500,2025-03-13,0.0
249.97999572753906,100242300,2025-03-14,0.0
238.00999450683594,111900600,2025-03-17,0.0
225.30999755859375,111477600,2025-03-18,0.0
235.86000061035156,111993800,2025-03-19,0.0
236.25999450683594,99028300,2025-03-20,0.0
248.7100067138672,132728700,2025-03-21,0.0
278.3900146484375,169079900,2025-03-24,0.0
288.1400146484375,150361500,2025-03-25,0.0
272.05999755859375,153629800,2025-03-26,0.0
273.1300048828125,162572100,2025-03-27,0.0
263.54998779296875,123809400,2025-03-28,0.0
259.1600036621094,134008900,2025-03-31,0.0
268.4599914550781,146486900,2025-04-01,0.0
282.760009765625,212787800,2025-04-02,0.0
267.2799987792969,136174300,2025-04-03,0.0
